y,XC1,XC2,XC3,XC4,XC5,XM1,XM2,XM3,XM4,XM5,XM6,XM7,XM8,XM9,XM10,z,strata,tau
0,1.5,0.2,-1.1,0.5,-0.5,1,1,1,1,1,1,1,1,1,1,-0.22060921658674626,1,0.405465108108164
0,0.7,1.9,2,-0.4,1.8,1,1,1,1,1,1,1,1,1,1,-0.816842196423119,1,0.405465108108164
0,0.2,0.4,0.6,0.5,-0.8,1,1,1,1,1,1,1,1,1,1,2.9409775845282846,1,0.405465108108164
1,0.2,0.6,1.2,-0,0.2,1,1,1,1,1,1,1,1,1,1,1.9009030177238124,1,0.405465108108164
0,-0.4,-0.9,-1.3,0.2,0.2,0,0,1,1,1,1,1,1,1,0,-1.2226119564266498,2,0.262364264467491
0,0.3,0,-1.2,-0.5,-0.8,0,0,1,1,1,1,1,1,1,0,-0.8060538459962119,2,0.262364264467491
0,1.5,1.3,1.7,0.8,0.1,0,0,1,1,1,1,1,1,1,0,-0.612069098243655,2,0.262364264467491
1,-0.6,1.6,2,0.1,0.4,0,0,1,1,1,1,1,1,1,0,0.2620668901363084,2,0.262364264467491
0,1.5,-0.6,-0.9,0.1,-0.6,1,1,1,1,0,1,0,0,0,0,0.08444711532947413,3,0.405465108108164
0,2.1,0.5,1.4,1.3,1.4,1,1,1,1,0,1,0,0,0,0,0.7349397635245577,3,0.405465108108164
1,-1.4,-2,-1.1,-0.6,-0.8,1,1,1,1,0,1,0,0,0,0,-0.9428601888835434,3,0.405465108108164
0,0.7,-0.1,-0,1.6,1.6,1,1,1,1,0,1,0,0,0,0,0.22784259956080155,3,0.405465108108164
0,0.8,-0.8,0.2,0.1,0.2,0,1,0,1,1,1,0,0,0,1,-1.0499387898864054,4,0.0953101798043249
0,0.7,-0.4,-0,0.8,-0.5,0,1,0,1,1,1,0,0,0,1,-1.5786328083743675,4,0.0953101798043249
0,-0.7,-1.4,-1.6,-0.9,0.4,0,1,0,1,1,1,0,0,0,1,-1.0581600475192567,4,0.0953101798043249
1,1,0.3,0.7,0.6,1.1,0,1,0,1,1,1,0,0,0,1,-1.0799942341469213,4,0.0953101798043249
0,0.1,-0.1,1.5,-0.6,0.8,1,0,1,1,1,1,1,0,0,0,1.6034451862170414,5,0.262364264467491
0,0.4,-0.2,-1.1,-1.6,-0.1,1,0,1,1,1,1,1,0,0,0,0.6910200816809856,5,0.262364264467491
1,-1.5,-0.5,0.3,-0.8,0.4,1,0,1,1,1,1,1,0,0,0,-0.25422522612977044,5,0.262364264467491
0,0.2,0.4,1.4,0.3,1.2,1,0,1,1,1,1,1,0,0,0,-0.15523024236960098,5,0.262364264467491
0,2,0.1,-1.2,0.2,0.1,1,0,1,1,0,0,0,0,0,1,-0.49015891686913926,6,0.262364264467491
0,-0.3,-0.2,-0.6,-1.2,1.2,1,0,1,1,0,0,0,0,0,1,-0.8707910774614197,6,0.262364264467491
0,2,0.9,0.4,1.7,1.9,1,0,1,1,0,0,0,0,0,1,0.05355723749714408,6,0.262364264467491
1,1.8,-0.4,1.7,1.9,0.4,1,0,1,1,0,0,0,0,0,1,0.25858802510096285,6,0.262364264467491
0,-0.2,0,0.5,-1.1,1.2,1,0,1,0,1,1,0,0,1,1,1.676751630268276,7,0.262364264467491
0,2.3,0.8,1.6,2,2.3,1,0,1,0,1,1,0,0,1,1,0.5965430000543711,7,0.262364264467491
0,1,0.3,-0.2,0.6,-1,1,0,1,0,1,1,0,0,1,1,1.4314190589017877,7,0.262364264467491
1,-0.3,0.3,0,0.9,0.4,1,0,1,0,1,1,0,0,1,1,1.0035421212940865,7,0.262364264467491
0,-1,-1.5,-0.9,-2,-1,1,0,1,1,1,0,1,0,1,1,1.5899225969223165,8,0.262364264467491
0,-0.7,1.6,1.6,0.6,-0.3,1,0,1,1,1,0,1,0,1,1,0.12163083764444171,8,0.262364264467491
1,-0.7,0.3,0.2,-1.4,-0.2,1,0,1,1,1,0,1,0,1,1,0.016262813083075756,8,0.262364264467491
0,-1,1.1,0.3,-0.9,-0.6,1,0,1,1,1,0,1,0,1,1,-0.6392936535039345,8,0.262364264467491
0,1,1,0.9,1.5,2.1,1,1,1,0,1,1,0,0,0,0,1.8533590596841267,9,0.405465108108164
0,-0,0.2,0.1,-0.3,-0.9,1,1,1,0,1,1,0,0,0,0,-0.6693915885362574,9,0.405465108108164
0,0.8,0.4,0.7,0.7,-0.9,1,1,1,0,1,1,0,0,0,0,0.8731465293574463,9,0.405465108108164
1,-1.5,0.5,-1.2,-1,-1.4,1,1,1,0,1,1,0,0,0,0,0.490401253717317,9,0.405465108108164
1,-0.6,-0.4,-1.3,0.6,-0.4,1,1,1,0,1,1,1,1,1,1,0.6397655724203495,10,0.405465108108164
0,2.1,2.1,1,0.7,-0.8,1,1,1,0,1,1,1,1,1,1,1.7916103957291307,10,0.405465108108164
0,-1.1,-1.3,-1.1,0.3,-0.5,1,1,1,0,1,1,1,1,1,1,-1.3446430686737094,10,0.405465108108164
0,0.9,1.4,-1,-0.3,0.9,1,1,1,0,1,1,1,1,1,1,-0.1977655969687646,10,0.405465108108164
0,0.6,-0.1,-0.7,1,1.3,0,0,0,0,0,1,0,0,0,0,-1.5094771807135317,11,-0.22314355131421
1,-0,-1.4,-0.1,1.2,0.5,0,0,0,0,0,1,0,0,0,0,-0.9499317201353497,11,-0.22314355131421
0,1,-1.1,0.2,-0.2,0.3,0,0,0,0,0,1,0,0,0,0,1.097236589386351,11,-0.22314355131421
0,1.5,-0.1,0.9,1.5,1.6,0,0,0,0,0,1,0,0,0,0,-0.9353532557325754,11,-0.22314355131421
1,-1.4,-1.1,-0.3,-2.7,-2.1,0,1,0,0,0,0,1,1,1,0,1.353047756643167,12,-0.22314355131421
0,-2.1,-2.4,-1.7,-0.5,-2.9,0,1,0,0,0,0,1,1,1,0,0.8704484155166652,12,-0.22314355131421
0,-0.3,-0.4,-0.4,-2.6,-1.2,0,1,0,0,0,0,1,1,1,0,-2.1169889246270013,12,-0.22314355131421
0,0.8,-0.4,0.1,-0.6,1,0,1,0,0,0,0,1,1,1,0,1.0041671251343158,12,-0.22314355131421
0,0.4,1,1,0.5,1.3,0,0,0,1,1,1,1,1,1,1,-0.2972118667325415,13,0.0953101798043249
0,-0.6,-0.2,0.5,-0.7,-1.2,0,0,0,1,1,1,1,1,1,1,0.8869816101653865,13,0.0953101798043249
0,1.1,2.6,1.8,1.6,-0.1,0,0,0,1,1,1,1,1,1,1,0.5579510866750607,13,0.0953101798043249
1,-0.6,-0.8,1.6,-1,-0.6,0,0,0,1,1,1,1,1,1,1,0.3019471058309028,13,0.0953101798043249
0,-0.9,-0.4,-0.6,-1,-2.1,0,0,0,1,1,1,1,0,0,0,-0.5274302292677955,14,0.0953101798043249
1,0.1,-1.3,-0.5,-0.8,0.2,0,0,0,1,1,1,1,0,0,0,-1.8542265765348112,14,0.0953101798043249
0,-0.8,-0.1,-0.7,-1.2,-0.3,0,0,0,1,1,1,1,0,0,0,-2.5394589073360576,14,0.0953101798043249
0,-0.2,-0.1,-0,-0.2,-0.3,0,0,0,1,1,1,1,0,0,0,1.1617254555056906,14,0.0953101798043249
0,-0.9,-0.4,-0.6,-1,-2.1,1,1,0,0,1,0,1,1,1,1,-0.5274302292677955,15,0.0953101798043249
1,0.1,-1.3,-0.5,-0.8,0.2,1,1,0,0,1,0,1,1,1,1,-1.8542265765348112,15,0.0953101798043249
0,-0.8,-0.1,-0.7,-1.2,-0.3,1,1,0,0,1,0,1,1,1,1,-2.5394589073360576,15,0.0953101798043249
0,-0.2,-0.1,-0,-0.2,-0.3,1,1,0,0,1,0,1,1,1,1,1.1617254555056906,15,0.0953101798043249
1,-3.1,-0.8,-0.8,-1.7,-1.8,0,1,1,0,1,1,1,1,0,1,-0.2994289271457915,16,0.405465108108164
0,-1.8,2.1,1.1,-0.8,-0.9,0,1,1,0,1,1,1,1,0,1,-1.8184664927850356,16,0.405465108108164
0,-1.2,0.8,-0.1,1,-0.1,0,1,1,0,1,1,1,1,0,1,1.1480294931658657,16,0.405465108108164
0,-0.7,0.7,0.8,-0.5,0.3,0,1,1,0,1,1,1,1,0,1,-0.08423119553573455,16,0.405465108108164
1,0.3,-0.3,-0.3,2.2,1.3,1,1,0,0,0,1,0,1,0,1,-0.6351033819246592,17,-0.22314355131421
0,0.7,1.7,-0.2,1.7,1.2,1,1,0,0,0,1,0,1,0,1,1.9582697519722168,17,-0.22314355131421
0,1.1,1,0.6,1,-0.5,1,1,0,0,0,1,0,1,0,1,0.0034778171400209335,17,-0.22314355131421
0,2,1.4,-0,0.7,-0.4,1,1,0,0,0,1,0,1,0,1,0.716369289410643,17,-0.22314355131421
0,-0.6,-0.4,-1.3,0.6,-0.4,0,1,1,1,1,0,0,0,0,0,0.6397655724203495,18,0.405465108108164
0,2.1,2.1,1,0.7,-0.8,0,1,1,1,1,0,0,0,0,0,1.7916103957291307,18,0.405465108108164
1,-1.1,-1.3,-1.1,0.3,-0.5,0,1,1,1,1,0,0,0,0,0,-1.3446430686737094,18,0.405465108108164
0,0.9,1.4,-1,-0.3,0.9,0,1,1,1,1,0,0,0,0,0,-0.1977655969687646,18,0.405465108108164
1,1.8,0.1,0.5,0.7,0.6,0,1,1,1,1,1,0,0,0,0,0.04137222917942163,19,0.405465108108164
0,0.9,-0.2,-0.8,0.9,-0.1,0,1,1,1,1,1,0,0,0,0,-1.5053926962505904,19,0.405465108108164
0,0.4,-2.3,-0.7,-2.2,-1.8,0,1,1,1,1,1,0,0,0,0,-0.08124829797272634,19,0.405465108108164
0,-0,-0.8,-0.9,-0,-0.2,0,1,1,1,1,1,0,0,0,0,-1.0545684334898624,19,0.405465108108164
1,1.2,0.4,-0.1,0.8,1.7,0,0,0,0,0,0,0,1,0,0,-0.6442525929602462,20,-0.22314355131421
0,1.2,-0.4,0.4,0.7,0.1,0,0,0,0,0,0,0,1,0,0,0.29026653094311705,20,-0.22314355131421
0,0.5,1.3,0.7,1.4,-0.1,0,0,0,0,0,0,0,1,0,0,0.9373776338556069,20,-0.22314355131421
0,2.7,0.1,1.5,1.8,-0.5,0,0,0,0,0,0,0,1,0,0,1.066819292709324,20,-0.22314355131421
0,-1.4,-1.1,-0.3,-2.7,-2.1,1,1,0,0,0,1,1,1,1,1,1.353047756643167,21,-0.22314355131421
0,-2.1,-2.4,-1.7,-0.5,-2.9,1,1,0,0,0,1,1,1,1,1,0.8704484155166652,21,-0.22314355131421
0,-0.3,-0.4,-0.4,-2.6,-1.2,1,1,0,0,0,1,1,1,1,1,-2.1169889246270013,21,-0.22314355131421
1,0.8,-0.4,0.1,-0.6,1,1,1,0,0,0,1,1,1,1,1,1.0041671251343158,21,-0.22314355131421
0,-0.2,-1.4,0.5,1.1,0.8,0,0,0,0,0,0,0,0,0,0,0.09099297646141397,22,-0.22314355131421
0,1,0.5,0.1,0.8,1.1,0,0,0,0,0,0,0,0,0,0,0.6255126688243742,22,-0.22314355131421
0,0.3,-0.3,0.7,0.5,-0.2,0,0,0,0,0,0,0,0,0,0,1.2534513998594747,22,-0.22314355131421
1,1.7,-0.3,0.2,2.5,0.6,0,0,0,0,0,0,0,0,0,0,2.3768993614283938,22,-0.22314355131421
0,-1.6,-2.3,-1.2,-1.6,-1.3,1,0,0,0,0,1,0,1,1,1,0.0731154634822685,23,-0.22314355131421
1,-2,-1.5,-1,-1.4,-1.7,1,0,0,0,0,1,0,1,1,1,-0.2779538732745127,23,-0.22314355131421
0,-0.6,-0.3,-1.6,-2,0,1,0,0,0,0,1,0,1,1,1,-1.626257960612051,23,-0.22314355131421
0,-1,-0.5,0.2,0.9,0.6,1,0,0,0,0,1,0,1,1,1,-1.227688012533869,23,-0.22314355131421
